Cast Vote Record,Precinct,Ballot Style,Governor / Lieutenant Governor,Attorney General,Secretary of State,State Treasurer,United States Senator,Representative in Congress District 2,Representative in Congress District 5,State Senator District 13,State Senator District 15,State Senator District 27,Representative to the Assembly District 37,Representative to the Assembly District 38,Representative to the Assembly District 42,Representative to the Assembly District 43,Representative to the Assembly District 46,Representative to the Assembly District 47,Representative to the Assembly District 48,Representative to the Assembly District 76,Representative to the Assembly District 77,Representative to the Assembly District 78,Representative to the Assembly District 79,Representative to the Assembly District 80,Representative to the Assembly District 81,Sheriff Dane County,Clerk of Circuit Court Dane County,Sheriff Green County,Coroner Green County,Clerk of Circuit Court Green County,Sheriff Jefferson County,Clerk of Circuit Court Jefferson County,County Referendum re: tax loopholes,County Referendum re: legalize marijuana,Green County Referendum,City of Sun Prairie Referendum re: tax loopholes,Village of DeForest Referendum re: tax loopholes,Village of Mt. Horeb Referendum re: animal research,Town of Black Earth Referendum re: appointed clerk,Town of Deerfield Referendum re: appointed clerk,Town of Madison Referendum re: increase levy limit,Town of Sun Prairie Referendum re: appointed clerk,Town of Vermont Referendum re: appointed clerk/treasurer,Town of Vermont Referendum re: amend constitution,Edgerton School District Ref #1,Edgerton School District Ref #2,Evansville School District Ref #1,Evansville School District #2,Middleton Cross Plains Ref #1,Middleton Cross Plains Ref #2,Monona Grove Ref #1,Monona Grove Ref #2,Oregon School District Ref #1,Oregon School District Ref #2,New Glarus School District Ref #1,New Glarus School District Ref #2,River Valley School District Referendum,Poynette School District Referendum
269698,C Madison Wd 009,Ballot Style 31,DEM Tony Evers /Mandela Barnes,DEM Josh Kaul,undervote,undervote,DEM Tammy Baldwin,DEM Mark Pocan,,,,,,,,,,,DEM Melissa Agard Sargent,,,,,,,undervote,undervote,,,,,,undervote,No,,,,,,,,,,,,,,,,,,,,,,,,
269699,C Madison Wd 009,Ballot Style 31,DEM Tony Evers /Mandela Barnes,DEM Josh Kaul,DEM Doug La Follette,DEM Sarah Godlewski,DEM Tammy Baldwin,DEM Mark Pocan,,,,,,,,,,,DEM Melissa Agard Sargent,,,,,,,DEM David J. Mahoney,DEM Carlo Esqueda,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,
269700,C Madison Wd 009,Ballot Style 31,DEM Tony Evers /Mandela Barnes,undervote,undervote,undervote,DEM Tammy Baldwin,undervote,,,,,,,,,,,undervote,,,,,,,undervote,undervote,,,,,,undervote,Yes,,,,,,,,,,,,,,,,,,,,,,,,
269701,C Madison Wd 009,Ballot Style 31,DEM Tony Evers /Mandela Barnes,DEM Josh Kaul,DEM Doug La Follette,DEM Sarah Godlewski,DEM Tammy Baldwin,DEM Mark Pocan,,,,,,,,,,,DEM Melissa Agard Sargent,,,,,,,DEM David J. Mahoney,DEM Carlo Esqueda,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
269702,C Madison Wd 009,Ballot Style 31,REP Scott Walker /Rebecca Kleefisch,REP Brad Schimel,REP Jay Schroeder,REP Travis Hartwig,REP Leah Vukmir,undervote,,,,,,,,,,,undervote,,,,,,,undervote,undervote,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,
269703,C Madison Wd 009,Ballot Style 31,DEM Tony Evers /Mandela Barnes,DEM Josh Kaul,DEM Doug La Follette,DEM Sarah Godlewski,DEM Tammy Baldwin,DEM Mark Pocan,,,,,,,,,,,undervote,,,,,,,DEM David J. Mahoney,DEM Carlo Esqueda,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
269704,C Madison Wd 009,Ballot Style 31,DEM Tony Evers /Mandela Barnes,DEM Josh Kaul,DEM Doug La Follette,DEM Sarah Godlewski,DEM Tammy Baldwin,DEM Mark Pocan,,,,,,,,,,,DEM Melissa Agard Sargent,,,,,,,DEM David J. Mahoney,DEM Carlo Esqueda,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
269705,C Madison Wd 009,Ballot Style 31,DEM Tony Evers /Mandela Barnes,DEM Josh Kaul,DEM Doug La Follette,DEM Sarah Godlewski,DEM Tammy Baldwin,DEM Mark Pocan,,,,,,,,,,,DEM Melissa Agard Sargent,,,,,,,DEM David J. Mahoney,DEM Carlo Esqueda,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
269706,C Madison Wd 009,Ballot Style 31,REP Scott Walker /Rebecca Kleefisch,REP Brad Schimel,REP Jay Schroeder,REP Travis Hartwig,REP Leah Vukmir,undervote,,,,,,,,,,,undervote,,,,,,,undervote,undervote,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
269707,C Madison Wd 009,Ballot Style 31,DEM Tony Evers /Mandela Barnes,DEM Josh Kaul,DEM Doug La Follette,DEM Sarah Godlewski,DEM Tammy Baldwin,DEM Mark Pocan,,,,,,,,,,,DEM Melissa Agard Sargent,,,,,,,DEM David J. Mahoney,DEM Carlo Esqueda,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
269708,C Madison Wd 009,Ballot Style 31,DEM Tony Evers /Mandela Barnes,DEM Josh Kaul,DEM Doug La Follette,DEM Sarah Godlewski,DEM Tammy Baldwin,DEM Mark Pocan,,,,,,,,,,,DEM Melissa Agard Sargent,,,,,,,DEM David J. Mahoney,DEM Carlo Esqueda,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
269709,C Madison Wd 009,Ballot Style 31,DEM Tony Evers /Mandela Barnes,DEM Josh Kaul,DEM Doug La Follette,DEM Sarah Godlewski,DEM Tammy Baldwin,DEM Mark Pocan,,,,,,,,,,,DEM Melissa Agard Sargent,,,,,,,DEM David J. Mahoney,DEM Carlo Esqueda,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
269710,C Madison Wd 009,Ballot Style 31,REP Scott Walker /Rebecca Kleefisch,REP Brad Schimel,REP Jay Schroeder,REP Travis Hartwig,REP Leah Vukmir,undervote,,,,,,,,,,,undervote,,,,,,,undervote,undervote,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
269711,C Madison Wd 009,Ballot Style 31,DEM Tony Evers /Mandela Barnes,DEM Josh Kaul,DEM Doug La Follette,DEM Sarah Godlewski,DEM Tammy Baldwin,DEM Mark Pocan,,,,,,,,,,,DEM Melissa Agard Sargent,,,,,,,DEM David J. Mahoney,DEM Carlo Esqueda,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,
269712,C Madison Wd 009,Ballot Style 31,DEM Tony Evers /Mandela Barnes,DEM Josh Kaul,DEM Doug La Follette,DEM Sarah Godlewski,DEM Tammy Baldwin,DEM Mark Pocan,,,,,,,,,,,DEM Melissa Agard Sargent,,,,,,,DEM David J. Mahoney,DEM Carlo Esqueda,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
269713,C Madison Wd 009,Ballot Style 31,DEM Tony Evers /Mandela Barnes,DEM Josh Kaul,DEM Doug La Follette,DEM Sarah Godlewski,DEM Tammy Baldwin,DEM Mark Pocan,,,,,,,,,,,DEM Melissa Agard Sargent,,,,,,,DEM David J. Mahoney,DEM Carlo Esqueda,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
269714,C Madison Wd 009,Ballot Style 31,DEM Tony Evers /Mandela Barnes,DEM Josh Kaul,DEM Doug La Follette,DEM Sarah Godlewski,DEM Tammy Baldwin,DEM Mark Pocan,,,,,,,,,,,DEM Melissa Agard Sargent,,,,,,,DEM David J. Mahoney,DEM Carlo Esqueda,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
